"Total Estimated and Projected Population of California by Age: July 1, 2010 to July 1, 2060 in 1-year Increments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Estimates,,,,,,,,,,Projections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Age (0-100+),"37,367,579","37,729,544","38,101,155","38,410,053","38,742,595","39,055,383","39,308,636","39,590,613","39,817,785","39,959,095","40,129,160","40,311,230","40,507,293","40,716,512","40,938,929","41,176,614","41,405,901","41,629,615","41,847,285","42,058,192","42,263,654","42,461,647","42,654,978","42,841,669","43,021,656","43,195,083","43,360,813","43,519,832","43,669,966","43,812,425","43,946,643","44,072,690","44,191,353","44,301,823","44,403,234","44,497,568","44,583,707","44,661,842","44,733,261","44,797,918","44,856,461","44,909,335","44,958,356","45,005,009","45,048,839","45,091,810","45,132,424","45,172,615","45,214,116","45,256,227","45,299,375"
0,"493,645","510,167","496,655","499,055","498,884","501,018","488,592","482,306","461,623","452,221","458,584","455,034","451,875","449,548","447,928","447,130","446,632","445,715","445,217","444,364","443,632","442,339","442,490","442,453","442,600","442,672","442,698","443,148","443,243","443,329","443,356","442,700","442,311","441,716","440,798","439,326","436,773","434,681","432,620","430,667","428,570","426,362","424,833","424,377","423,274","423,193","422,790","423,075","423,537","423,854","424,551"
1,"496,803","492,790","509,300","495,850","498,214","498,138","500,354","487,869","481,654","461,034","450,783","457,209","453,591","450,527","448,199","446,692","445,851","445,269","444,498","444,059","443,181","442,439","441,181","441,403","441,387","441,583","441,650","441,678","442,113","442,229","442,378","442,413","441,835","441,434","440,871","439,920","438,472","435,954","433,842","431,782","429,861","427,778","425,635","424,149","423,696","422,644","422,466","422,160","422,404","422,899","423,144"
2,"512,026","496,473","490,626","507,297","492,021","493,339","490,743","494,105","481,869","474,728","454,325","444,980","454,898","450,903","447,309","445,272","443,127","440,407","437,839","435,883","435,361","434,619","433,504","432,399","432,622","432,956","433,030","432,864","433,287","433,850","433,753","433,983","434,169","433,325","433,065","432,469","431,297","430,108","427,586","425,047","423,411","421,716","419,419","417,357","415,913","415,744","414,613","414,344","413,896","414,440","414,827"
3,"516,440","514,022","500,614","493,207","511,871","495,820","494,651","493,427","495,843","482,341","475,575","455,314","445,429","457,190","453,354","449,792","448,360","448,165","444,711","441,542","439,790","438,741","438,466","437,001","435,950","436,559","436,797","436,765","436,461","436,698","437,814","437,358","437,709","438,151","437,319","436,999","436,379","435,164","434,002","431,685","428,426","426,955","425,515","422,971","421,263","419,520","419,176","418,028","417,902","417,148","417,969"
4,"509,839","518,920","517,407","504,145","496,032","516,732","499,928","498,643","497,614","498,850","485,958","479,289","458,454","448,380","461,569","457,615","454,034","452,710","454,880","450,814","447,553","446,034","444,810","444,555","443,664","441,734","442,331","442,858","442,722","442,803","442,634","443,978","443,334","443,629","444,223","443,226","443,179","442,630","441,493","440,203","437,905","434,865","432,810","431,896","428,597","426,807","425,479","424,977","424,112","423,688","423,021"
5,"506,610","512,345","523,199","520,118","507,560","500,104","521,704","505,582","504,078","501,941","503,635","490,836","483,056","462,163","452,251","466,382","462,374","458,611","457,693","462,282","458,236","455,142","453,751","452,719","451,887","451,192","449,530","450,233","450,674","450,273","450,447","450,363","451,668","451,115","451,105","451,964","450,940","450,599","449,916","449,069","448,000","445,062","442,477","440,063","439,451","436,269","434,289","433,232","432,482","431,941","431,329"
6,"500,382","507,667","514,530","525,001","522,064","510,097","503,129","525,334","508,402","505,518","502,641","504,144","491,380","483,906","463,250","453,376","468,789","464,746","462,074","462,302","467,989","463,285","459,523","457,564","455,918","454,628","453,844","451,196","452,120","452,361","451,597","451,764","451,532","452,886","452,426","452,256","453,134","451,948","451,709","451,200","450,072","449,158","446,048","443,101","440,990","440,465","437,071","435,347","433,971","432,880","432,737"
7,"498,734","499,764","508,135","514,287","525,123","522,285","509,958","503,884","526,719","508,075","504,841","501,656","502,875","490,416","483,362","462,934","453,246","469,143","465,720","463,700","464,991","471,354","465,608","461,654","459,232","456,875","455,428","454,065","451,380","452,323","451,836","451,475","451,438","451,198","452,404","452,086","451,650","452,469","451,504","451,566","450,959","449,309","448,473","445,397","442,526","440,539","439,776","436,597","434,782","433,595","432,429"
8,"495,022","500,194","502,004","509,577","516,040","527,529","524,407","512,970","506,407","528,161","509,434","506,173","502,788","504,066","491,856","485,049","465,119","455,368","471,667","468,816","467,095","469,264","475,876","469,860","465,565","463,004","459,960","458,737","456,703","453,862","454,978","454,379","454,099","454,127","453,710","455,136","454,532","454,351","455,111","453,863","454,365","453,655","452,030","451,062","447,796","445,117","442,839","442,334","439,077","437,552","436,085"
9,"504,504","495,648","501,552","503,195","510,879","518,052","528,876","526,291","514,799","507,071","530,034","511,327","507,827","504,307","505,782","493,679","486,711","466,833","457,110","473,411","470,846","469,604","472,425","479,348","473,002","468,559","465,884","462,316","460,823","458,629","456,061","457,168","455,943","455,945","455,762","455,689","457,107","456,065","456,183","456,398","455,483","455,866","455,364","453,975","452,648","449,824","446,572","444,621","443,849","440,968","439,131"
10,"511,119","502,365","493,830","499,750","502,590","510,339","516,865","528,000","525,846","513,544","505,624","529,170","510,782","506,940","503,490","505,138","493,335","486,019","465,875","456,033","472,408","470,353","469,587","472,957","480,450","473,778","468,975","465,854","462,295","460,457","458,236","455,755","456,986","455,237","455,508","455,472","455,444","457,140","455,694","455,946","455,961","455,164","455,742","455,367","453,642","452,586","449,540","446,707","444,322","443,939","440,766"
11,"509,811","511,375","503,166","494,257","499,947","503,142","510,325","517,418","528,519","525,223","513,158","505,454","529,384","511,398","507,625","503,975","505,373","493,826","486,382","465,729","455,633","472,097","470,788","470,384","474,424","481,961","475,034","470,079","466,981","463,261","461,159","458,776","456,371","457,529","455,885","456,288","456,311","456,093","457,831","456,272","456,647","456,883","455,978","456,691","455,971","454,165","453,387","450,383","447,533","444,905","444,640"
12,"511,555","511,599","513,584","505,177","497,149","502,276","505,046","512,533","519,490","529,818","526,971","515,253","507,958","532,147","513,959","510,148","506,357","507,575","496,027","488,440","467,488","457,141","473,679","472,627","472,748","477,296","485,411","478,089","472,685","469,648","465,936","463,653","461,495","459,082","460,246","458,367","458,810","459,114","458,599","460,350","458,817","459,065","459,272","458,546","459,431","458,645","456,860","455,880","453,151","450,351","447,270"
13,"521,615","512,945","513,362","515,438","507,270","498,947","503,666","506,580","513,830","520,500","530,815","528,424","517,220","510,315","534,686","516,281","512,054","508,277","509,241","497,359","489,610","468,442","458,282","475,103","474,461","474,811","479,489","487,983","480,558","475,076","471,956","468,056","465,889","463,932","461,285","462,342","460,522","460,990","461,358","460,821","462,621","460,903","461,381","461,456","460,958","461,573","460,684","458,964","458,236","455,167","452,536"
14,"532,148","522,878","514,558","514,793","517,250","509,182","500,349","506,133","508,479","515,394","522,305","532,752","530,703","519,792","513,013","537,552","518,441","514,322","509,905","510,884","498,624","490,837","469,178","459,258","476,103","476,193","476,730","481,992","490,850","483,112","477,502","474,493","470,633","468,371","466,263","463,500","464,307","462,890","463,419","463,880","463,159","465,078","463,098","463,958","463,498","463,150","463,915","463,191","461,405","460,420","457,520"
15,"544,092","534,138","524,965","515,635","515,894","518,865","510,664","502,514","507,931","509,319","516,737","523,541","534,299","532,409","521,779","515,084","539,627","520,438","516,114","511,413","512,044","499,387","492,013","469,681","460,027","476,810","477,714","478,501","484,096","493,458","485,421","479,816","476,717","473,046","470,714","468,610","465,953","466,579","465,146","465,790","466,459","465,613","467,271","465,413","466,231","465,891","465,904","465,985","465,404","463,608","462,867"
16,"555,559","547,566","538,350","528,158","518,669","519,233","521,454","514,108","505,896","511,008","512,583","520,131","527,135","538,138","536,258","525,913","518,975","543,491","523,744","519,369","514,286","514,451","501,559","494,564","471,975","462,752","479,442","481,083","481,988","487,992","497,541","489,448","483,906","480,617","477,187","474,730","472,607","469,968","471,088","469,377","469,822","470,627","469,939","471,346","469,805","470,272","469,938","469,986","470,009","469,840","467,834"
17,"563,761","565,054","557,639","548,931","539,348","530,797","530,562","532,823","525,244","516,905","522,049","524,177","531,648","538,771","549,971","548,666","537,990","530,682","555,401","535,113","530,429","524,933","524,930","511,823","504,470","482,273","473,056","490,305","492,397","493,541","499,796","509,305","501,319","495,834","492,771","489,210","486,877","484,732","481,941","483,337","481,254","482,200","482,841","482,069","483,483","481,753","482,711","481,825","482,260","481,870","481,933"
18,"593,027","657,849","659,863","652,912","645,909","637,021","628,724","628,570","631,439","623,513","615,741","621,135","623,539","630,926","638,077","649,665","648,120","637,529","629,884","654,156","633,178","628,240","622,588","622,227","609,039","601,297","579,245","570,575","587,944","590,380","592,582","599,068","608,882","600,899","595,503","592,317","589,155","586,554","584,151","581,453","583,040","580,911","581,908","582,254","582,149","583,106","581,634","582,259","581,640","581,915","581,848"
19,"581,839","594,929","645,863","642,466","638,322","635,479","628,578","624,650","625,858","624,016","618,149","611,734","618,630","621,761","629,855","638,303","649,201","646,536","633,978","625,863","649,712","629,361","625,275","620,799","621,145","608,552","602,267","582,077","572,426","592,691","594,917","598,454","605,205","614,489","604,525","599,239","595,291","591,588","588,978","587,249","584,584","584,679","582,825","582,997","583,667","583,670","584,931","583,536","584,176","583,212","584,537"
20,"579,048","580,995","602,967","650,088","648,139","643,227","640,240","635,356","630,921","628,355","627,972","622,242","617,361","624,277","628,587","636,651","645,085","656,319","652,257","638,576","629,843","654,241","633,788","630,307","626,171","626,038","613,328","608,366","588,048","578,384","599,474","601,738","605,094","612,346","620,858","611,061","606,304","602,959","598,578","596,208","593,640","592,070","591,540","590,077","590,282","590,045","590,485","591,860","590,118","590,813","589,034"
21,"558,339","568,671","575,656","597,385","640,999","636,331","630,175","629,860","623,729","617,393","616,345","616,984","610,704","607,272","614,737","619,410","627,253","636,396","647,735","643,251","629,767","620,491","644,227","624,494","620,697","616,892","616,944","602,646","597,734","577,742","568,473","589,849","591,753","595,768","602,989","611,158","601,877","596,633","593,686","589,221","586,797","583,593","582,380","582,234","580,378","580,890","580,358","580,676","582,746","580,686","580,120"
22,"547,618","551,233","564,067","569,698","592,032","631,379","625,623","620,318","619,190","611,093","605,511","604,910","606,673","601,095","598,178","606,450","610,935","619,195","629,765","640,774","635,693","621,969","612,344","636,899","616,919","612,869","608,643","608,114","593,511","588,897","567,997","559,081","580,393","582,949","586,996","594,248","601,985","593,167","587,686","584,225","579,983","578,029","574,495","574,126","572,737","571,493","571,462","571,439","571,121","573,236","572,211"
23,"540,521","539,122","543,931","554,608","561,789","581,630","617,625","612,137","605,679","605,302","597,333","592,601","592,487","594,389","589,357","587,470","596,072","600,986","610,998","621,844","633,535","627,180","613,810","603,048","627,180","608,332","603,372","598,136","597,215","582,100","577,841","555,906","547,328","567,399","572,083","575,348","582,515","590,137","581,426","576,072","572,992","569,270","566,898","562,950","562,850","561,935","560,731","560,146","560,451","559,730","562,121"
24,"546,731","535,312","535,659","537,259","547,521","553,727","574,734","608,634","602,249","597,117","596,972","589,208","584,569","585,302","586,968","582,732","581,800","590,460","595,536","607,081","618,183","630,775","623,554","609,056","598,524","622,054","603,539","598,366","593,268","591,414","575,138","570,130","548,444","540,066","559,962","565,553","568,598","575,405","583,275","574,860","569,146","566,488","563,441","559,823","557,013","556,409","555,719","554,298","553,923","554,455","553,999"
