Area Type,Area Name,Date,Year,Month,Age 16-19,Age 20-24,Age 25-34,Age 35-44,Age 45-54,Age 55-64,Age 65+
California,State,05/01/2019,2019,May,0.2,0.1,0.0,0.0,0.0,0.0,0.0
California,State,04/01/2019,2019,April,0.2,0.1,0.0,0.0,0.0,0.0,0.0
California,State,03/01/2019,2019,March,0.2,0.1,0.0,0.0,0.0,0.0,0.0
California,State,02/01/2019,2019,February,0.1,0.1,0.0,0.0,0.0,0.0,0.0
California,State,01/01/2019,2019,January,0.2,0.1,0.0,0.0,0.0,0.0,0.0
California,State,12/01/2018,2018,December,0.2,0.1,0.0,0.0,0.0,0.0,0.0
California,State,11/01/2018,2018,November,0.2,0.1,0.0,0.0,0.0,0.0,0.0
California,State,10/01/2018,2018,October,0.2,0.1,0.0,0.0,0.0,0.0,0.0
California,State,09/01/2018,2018,September,0.2,0.1,0.0,0.0,0.0,0.0,0.0
California,State,08/01/2018,2018,August,0.2,0.1,0.0,0.0,0.0,0.0,0.0
California,State,07/01/2018,2018,July,0.2,0.1,0.0,0.0,0.0,0.0,0.0
California,State,06/01/2018,2018,June,0.2,0.1,0.0,0.0,0.0,0.0,0.0
California,State,05/01/2018,2018,May,0.2,0.1,0.1,0.0,0.0,0.0,0.0
California,State,04/01/2018,2018,April,0.2,0.1,0.1,0.0,0.0,0.0,0.0
California,State,03/01/2018,2018,March,0.2,0.1,0.0,0.0,0.0,0.0,0.0
California,State,02/01/2018,2018,February,0.2,0.1,0.0,0.0,0.0,0.0,0.0
California,State,01/01/2018,2018,January,0.2,0.1,0.0,0.0,0.0,0.0,0.0
California,State,12/01/2017,2017,December,0.2,0.1,0.0,0.0,0.0,0.0,0.0
California,State,11/01/2017,2017,November,0.2,0.1,0.0,0.0,0.0,0.0,0.0
California,State,10/01/2017,2017,October,0.2,0.1,0.0,0.0,0.0,0.0,0.0
California,State,09/01/2017,2017,September,0.2,0.1,0.0,0.0,0.0,0.0,0.0
California,State,08/01/2017,2017,August,0.2,0.1,0.1,0.0,0.0,0.0,0.0
California,State,07/01/2017,2017,July,0.2,0.1,0.1,0.0,0.0,0.0,0.0
California,State,06/01/2017,2017,June,0.2,0.1,0.1,0.0,0.0,0.0,0.0
California,State,05/01/2017,2017,May,0.2,0.1,0.1,0.0,0.0,0.0,0.0
California,State,04/01/2017,2017,April,0.2,0.1,0.1,0.0,0.0,0.0,0.0
California,State,03/01/2017,2017,March,0.2,0.1,0.1,0.0,0.0,0.0,0.0
California,State,02/01/2017,2017,February,0.2,0.1,0.1,0.0,0.0,0.0,0.0
California,State,01/01/2017,2017,January,0.2,0.1,0.1,0.0,0.0,0.0,0.0
California,State,12/01/2016,2016,December,0.2,0.1,0.1,0.0,0.0,0.0,0.0
California,State,11/01/2016,2016,November,0.2,0.1,0.1,0.0,0.0,0.0,0.0
California,State,10/01/2016,2016,October,0.2,0.1,0.1,0.0,0.0,0.0,0.0
California,State,09/01/2016,2016,September,0.2,0.1,0.1,0.0,0.0,0.0,0.0
California,State,08/01/2016,2016,August,0.2,0.1,0.1,0.0,0.0,0.0,0.0
California,State,07/01/2016,2016,July,0.2,0.1,0.1,0.0,0.0,0.0,0.0
California,State,06/01/2016,2016,June,0.2,0.1,0.1,0.0,0.0,0.0,0.0
California,State,05/01/2016,2016,May,0.2,0.1,0.1,0.0,0.0,0.0,0.0
California,State,04/01/2016,2016,April,0.2,0.1,0.1,0.0,0.0,0.0,0.0
