Reporting_Period,County,Facility_Name,Number_of_Incarcerated_in_the_Facility,Total_Number_Tested,Total_Confirmed_Positive,Confirmed_at_Intake_(Optional),Confirmed_in_First_14 Days_(Optional),Confirmed_In_Custody_(Optional),Hospitalized,Estimated_Resolved,Deaths,Additional_Information_(Optional),Staff_Tested,Staff_Confirmed_Positive,Staff_Resolved,Additional_County_Information
10/04/20 - 10/10/20,Alameda,Santa Rita Jail,1916,148,<11,<11,<11,0,0,<11,0,,,,,
10/11/20 - 10/17/20,Alameda,Santa Rita Jail,1985,200,0,0,0,0,0,<11,0,,,,,
10/18/20 - 10/24/20,Alameda,Santa Rita Jail,2015,161,<11,<11,<11,0,0,0,0,,,,,
10/25/20 - 10/31/20,Alameda,Santa Rita Jail,2009,214,<11,<11,<11,0,0,0,0,,,,,
11/01/20 - 11/07/20,Alameda,Santa Rita Jail,2031,283,<11,<11,<11,0,0,0,0,,,,,
7/19/20 - 7/25/20,Alameda,Santa Rita Jail,U,177,24,<11,<11,22,0,36,0,,,,,
7/26/20 - 8/01/20,Alameda,Santa Rita Jail,1764,176,<11,<11,<11,<11,0,24,0,,,,,
8/02/20 - 8/08/20,Alameda,Santa Rita Jail,1768,174,<11,<11,<11,<11,0,<11,0,,,,,
8/09/20 - 8/15/20,Alameda,Santa Rita Jail,1794,234,<11,0,0,<11,0,<11,0,,,,,
8/16/20 - 8/22/20,Alameda,Santa Rita Jail,1789,197,<11,<11,0,<11,0,<11,0,,,,,
8/23/20 - 8/29/20,Alameda,Santa Rita Jail,1802,277,<11,0,<11,<11,0,0,0,,,,,
8/30/20 - 9/05/20,Alameda,Santa Rita Jail,1820,165,<11,<11,<11,<11,0,<11,0,,,,,
9/06/20 - 9/12/20,Alameda,Santa Rita Jail,1857,177,0,0,0,0,0,<11,0,,,,,
9/13/20 - 9/19/20,Alameda,Santa Rita Jail,1821,211,<11,0,0,<11,0,<11,0,,,,,
9/20/20 - 9/26/20,Alameda,Santa Rita Jail,1829,254,13,0,0,13,0,<11,0,,,,,
9/27/20 - 10/03/20,Alameda,Santa Rita Jail,1848,191,<11,0,0,<11,0,16,0,,,,,
10/04/20 - 10/10/20,Alameda,,,,,,,,,,,,0,0,0,
10/11/20 - 10/17/20,Alameda,,,,,,,,,,,,<11,0,0,
10/18/20 - 10/24/20,Alameda,,,,,,,,,,,,<11,0,0,
10/25/20 - 10/31/20,Alameda,,,,,,,,,,,,<11,0,0,
11/01/20 - 11/07/20,Alameda,,,,,,,,,,,,0,0,0,
7/19/20 - 7/25/20,Alameda,,,,,,,,,,,,355,<11,<11,
7/26/20 - 8/01/20,Alameda,,,,,,,,,,,,<11,<11,<11,
8/02/20 - 8/08/20,Alameda,,,,,,,,,,,,0,0,<11,
8/09/20 - 8/15/20,Alameda,,,,,,,,,,,,0,0,<11,
8/16/20 - 8/22/20,Alameda,,,,,,,,,,,,0,0,0,
8/23/20 - 8/29/20,Alameda,,,,,,,,,,,,<11,<11,<11,
8/30/20 - 9/05/20,Alameda,,,,,,,,,,,,0,0,0,
9/06/20 - 9/12/20,Alameda,,,,,,,,,,,,0,0,<11,
9/13/20 - 9/19/20,Alameda,,,,,,,,,,,,0,0,0,
9/20/20 - 9/26/20,Alameda,,,,,,,,,,,,0,0,0,
9/27/20 - 10/03/20,Alameda,,,,,,,,,,,,0,0,<11,
10/04/20 - 10/10/20,Amador,No Data Reported,,,,,,,,,,,,,,
10/11/20 - 10/17/20,Amador,No Data Reported,,,,,,,,,,,,,,
10/18/20 - 10/24/20,Amador,No Data Reported,,,,,,,,,,,,,,
10/25/20 - 10/31/20,Amador,No Data Reported,,,,,,,,,,,,,,
11/01/20 - 11/07/20,Amador,No Data Reported,,,,,,,,,,,,,,
7/19/20 - 7/25/20,Amador,No Data Reported,,,,,,,,,,,,,,
7/26/20 - 8/01/20,Amador,No Data Reported,,,,,,,,,,,,,,
8/02/20 - 8/08/20,Amador,No Data Reported,,,,,,,,,,,,,,
8/09/20 - 8/15/20,Amador,No Data Reported,,,,,,,,,,,,,,
8/16/20 - 8/22/20,Amador,No Data Reported,,,,,,,,,,,,,,
8/23/20 - 8/29/20,Amador,No Data Reported,,,,,,,,,,,,,,
8/30/20 - 9/05/20,Amador,No Data Reported,,,,,,,,,,,,,,
9/06/20 - 9/12/20,Amador,No Data Reported,,,,,,,,,,,,,,
9/13/20 - 9/19/20,Amador,No Data Reported,,,,,,,,,,,,,,
9/20/20 - 9/26/20,Amador,No Data Reported,,,,,,,,,,,,,,
9/27/20 - 10/03/20,Amador,No Data Reported,,,,,,,,,,,,,,
10/04/20 - 10/10/20,Amador,,,,,,,,,,,,No Data Reported,,,
10/11/20 - 10/17/20,Amador,,,,,,,,,,,,No Data Reported,,,
10/18/20 - 10/24/20,Amador,,,,,,,,,,,,No Data Reported,,,
10/25/20 - 10/31/20,Amador,,,,,,,,,,,,No Data Reported,,,
11/01/20 - 11/07/20,Amador,,,,,,,,,,,,No Data Reported,,,
7/19/20 - 7/25/20,Amador,,,,,,,,,,,,No Data Reported,,,
7/26/20 - 8/01/20,Amador,,,,,,,,,,,,No Data Reported,,,
8/02/20 - 8/08/20,Amador,,,,,,,,,,,,No Data Reported,,,
8/09/20 - 8/15/20,Amador,,,,,,,,,,,,No Data Reported,,,
8/16/20 - 8/22/20,Amador,,,,,,,,,,,,No Data Reported,,,
8/23/20 - 8/29/20,Amador,,,,,,,,,,,,No Data Reported,,,
8/30/20 - 9/05/20,Amador,,,,,,,,,,,,No Data Reported,,,
9/06/20 - 9/12/20,Amador,,,,,,,,,,,,No Data Reported,,,
9/13/20 - 9/19/20,Amador,,,,,,,,,,,,No Data Reported,,,
9/20/20 - 9/26/20,Amador,,,,,,,,,,,,No Data Reported,,,
9/27/20 - 10/03/20,Amador,,,,,,,,,,,,No Data Reported,,,
10/04/20 - 10/10/20,Butte,Butte County Jail,555,<11,0,0,0,0,0,<11,0,,,,,
10/11/20 - 10/17/20,Butte,Butte County Jail,560,48,0,0,0,0,0,0,0,,,,,
10/18/20 - 10/24/20,Butte,Butte County Jail,534,47,0,0,0,0,0,0,0,,,,,
10/25/20 - 10/31/20,Butte,Butte County Jail,525,<11,0,0,0,0,0,0,0,,,,,
11/01/20 - 11/07/20,Butte,Butte County Jail,534,40,<11,0,0,<11,0,0,0,,,,,
7/19/20 - 7/25/20,Butte,Butte County Jail,458,134,43,0,0,134,<11,69,0,,,,,
7/26/20 - 8/01/20,Butte,Butte County Jail,462,75,70,,,,<11,89,0,,,,,
8/02/20 - 8/08/20,Butte,Butte County Jail,477,53,18,,,,<11,48,0,,,,,
8/09/20 - 8/15/20,Butte,Butte County Jail,476,26,<11,0,<11,<11,0,<11,0,,,,,
8/16/20 - 8/22/20,Butte,Butte County Jail,502,27,14,0,<11,14,0,14,0,,,,,
8/23/20 - 8/29/20,Butte,Butte County Jail,520,30,<11,<11,<11,<11,0,15,0,,,,,
8/30/20 - 9/05/20,Butte,Butte County Jail,543,20,<11,0,<11,<11,0,<11,0,,,,,
9/06/20 - 9/12/20,Butte,Butte County Jail,547,<11,0,0,0,0,0,<11,0,,,,,
9/13/20 - 9/19/20,Butte,Butte County Jail,524,<11,0,0,<11,0,0,0,0,,,,,
9/20/20 - 9/26/20,Butte,Butte County Jail,525,<11,0,0,0,0,0,0,0,,,,,
9/27/20 - 10/03/20,Butte,Butte County Jail,550,<11,<11,0,<11,<11,0,0,0,,,,,
10/04/20 - 10/10/20,Butte,,,,,,,,,,,,0,0,0,
10/11/20 - 10/17/20,Butte,,,,,,,,,,,,0,0,0,
10/18/20 - 10/24/20,Butte,,,,,,,,,,,,<11,0,0,
10/25/20 - 10/31/20,Butte,,,,,,,,,,,,0,0,0,
11/01/20 - 11/07/20,Butte,,,,,,,,,,,,0,0,0,
7/19/20 - 7/25/20,Butte,,,,,,,,,,,,29,<11,0,
7/26/20 - 8/01/20,Butte,,,,,,,,,,,,21,<11,<11,
8/02/20 - 8/08/20,Butte,,,,,,,,,,,,15,<11,<11,
8/09/20 - 8/15/20,Butte,,,,,,,,,,,,<11,<11,<11,
8/16/20 - 8/22/20,Butte,,,,,,,,,,,,16,<11,<11,
8/23/20 - 8/29/20,Butte,,,,,,,,,,,,12,<11,<11,
8/30/20 - 9/05/20,Butte,,,,,,,,,,,,<11,<11,<11,
9/06/20 - 9/12/20,Butte,,,,,,,,,,,,0,0,<11,
9/13/20 - 9/19/20,Butte,,,,,,,,,,,,<11,0,0,
9/20/20 - 9/26/20,Butte,,,,,,,,,,,,0,0,0,
9/27/20 - 10/03/20,Butte,,,,,,,,,,,,<11,0,0,
10/04/20 - 10/10/20,Calaveras,Calaveras Co. Adult Detention Facility,94,0,0,,,,0,0,0,,,,,
10/11/20 - 10/17/20,Calaveras,Calaveras Co. Adult Detention Facility,96,0,0,,,,0,0,0,,,,,
10/18/20 - 10/24/20,Calaveras,Calaveras Co. Adult Detention Facility,100,0,0,,,,0,0,0,,,,,
10/25/20 - 10/31/20,Calaveras,Calaveras Co. Adult Detention Facility,97,0,0,,,,0,0,0,,,,,
11/01/20 - 11/07/20,Calaveras,Calaveras Co. Adult Detention Facility,102,0,0,,,,0,0,0,,,,,
7/19/20 - 7/25/20,Calaveras,Calaveras Co. Adult Detention Facility,75,0,0,0,0,0,0,0,0,,,,,
7/26/20 - 8/01/20,Calaveras,Calaveras Co. Adult Detention Facility,83,0,0,,,,0,0,0,,,,,
8/02/20 - 8/08/20,Calaveras,Calaveras Co. Adult Detention Facility,82,0,0,,,,0,0,0,,,,,
8/09/20 - 8/15/20,Calaveras,Calaveras Co. Adult Detention Facility,81,0,0,,,,0,0,0,,,,,
8/16/20 - 8/22/20,Calaveras,Calaveras Co. Adult Detention Facility,85,0,0,,,,0,0,0,,,,,
8/23/20 - 8/29/20,Calaveras,Calaveras Co. Adult Detention Facility,86,0,0,0,,,0,0,0,,,,,
8/30/20 - 9/05/20,Calaveras,Calaveras Co. Adult Detention Facility,91,0,0,,,,0,0,0,,,,,
9/06/20 - 9/12/20,Calaveras,Calaveras Co. Adult Detention Facility,91,0,0,,,,0,0,0,,,,,
9/13/20 - 9/19/20,Calaveras,Calaveras Co. Adult Detention Facility,95,0,0,,,,0,0,0,,,,,
9/20/20 - 9/26/20,Calaveras,Calaveras Co. Adult Detention Facility,94,<11,0,,,,0,<11,0,,,,,
9/27/20 - 10/03/20,Calaveras,Calaveras Co. Adult Detention Facility,96,0,0,,,,0,0,0,,,,,
10/04/20 - 10/10/20,Calaveras,,,,,,,,,,,,0,0,0,
10/11/20 - 10/17/20,Calaveras,,,,,,,,,,,,0,0,0,
10/18/20 - 10/24/20,Calaveras,,,,,,,,,,,,0,0,0,
10/25/20 - 10/31/20,Calaveras,,,,,,,,,,,,0,0,0,
11/01/20 - 11/07/20,Calaveras,,,,,,,,,,,,0,0,0,
7/19/20 - 7/25/20,Calaveras,,,,,,,,,,,,0,0,0,
7/26/20 - 8/01/20,Calaveras,,,,,,,,,,,,0,0,0,
8/02/20 - 8/08/20,Calaveras,,,,,,,,,,,,0,0,0,
8/09/20 - 8/15/20,Calaveras,,,,,,,,,,,,<11,0,0,
8/16/20 - 8/22/20,Calaveras,,,,,,,,,,,,0,0,0,
8/30/20 - 9/05/20,Calaveras,,,,,,,,,,,,0,0,0,
9/06/20 - 9/12/20,Calaveras,,,,,,,,,,,,0,0,0,
9/13/20 - 9/19/20,Calaveras,,,,,,,,,,,,0,0,0,
9/20/20 - 9/26/20,Calaveras,,,,,,,,,,,,0,0,0,
9/27/20 - 10/03/20,Calaveras,,,,,,,,,,,,0,0,0,
10/04/20 - 10/10/20,Colusa,Colusa County Jail,63,0,0,0,0,0,0,0,0,,,,,
10/11/20 - 10/17/20,Colusa,Colusa County Jail,61,0,0,0,0,0,0,0,0,,,,,
10/18/20 - 10/24/20,Colusa,Colusa County Jail,61,16,0,0,0,0,0,0,0,The increase in tests is due to inmates being tested who are awaiting transport to prison.,,,,
10/25/20 - 10/31/20,Colusa,Colusa County Jail,44,0,0,0,0,0,0,0,0,Number is in custody is down due to 15 inmates pending CDCR delivery were transported during this reporting period.,,,,
11/01/20 - 11/07/20,Colusa,Colusa County Jail,46,0,0,0,0,0,0,0,0,,,,,
7/19/20 - 7/25/20,Colusa,Colusa County Jail,57,0,0,0,0,0,0,0,0,,,,,
7/26/20 - 8/01/20,Colusa,Colusa County Jail,57,0,0,0,0,0,0,0,0,,,,,
8/02/20 - 8/08/20,Colusa,Colusa County Jail,56,0,0,0,0,0,0,0,0,,,,,
8/09/20 - 8/15/20,Colusa,Colusa County Jail,61,0,0,0,,0,0,0,0,,,,,
8/16/20 - 8/22/20,Colusa,Colusa County Jail,63,0,0,,0,0,0,0,0,,,,,
8/23/20 - 8/29/20,Colusa,Colusa County Jail,61,0,0,0,0,0,0,0,0,,,,,
8/30/20 - 9/05/20,Colusa,Colusa County Jail,69,0,0,0,0,0,0,0,0,,,,,
9/06/20 - 9/12/20,Colusa,Colusa County Jail,65,0,0,0,0,0,0,0,0,,,,,
9/13/20 - 9/19/20,Colusa,Colusa County Jail,62,0,0,0,0,0,0,0,0,,,,,
9/20/20 - 9/26/20,Colusa,Colusa County Jail,58,<11,0,0,0,0,0,0,0,,,,,
9/27/20 - 10/03/20,Colusa,Colusa County Jail,59,<11,0,0,0,0,0,0,0,,,,,
10/04/20 - 10/10/20,Colusa,,,,,,,,,,,,0,0,0,
10/11/20 - 10/17/20,Colusa,,,,,,,,,,,,0,0,0,
10/18/20 - 10/24/20,Colusa,,,,,,,,,,,,0,0,0,
10/25/20 - 10/31/20,Colusa,,,,,,,,,,,,0,0,0,
11/01/20 - 11/07/20,Colusa,,,,,,,,,,,,0,0,0,
7/19/20 - 7/25/20,Colusa,,,,,,,,,,,,0,0,0,
7/26/20 - 8/01/20,Colusa,,,,,,,,,,,,0,0,0,
8/02/20 - 8/08/20,Colusa,,,,,,,,,,,,0,0,0,
8/09/20 - 8/15/20,Colusa,,,,,,,,,,,,0,0,0,
8/16/20 - 8/22/20,Colusa,,,,,,,,,,,,0,0,0,
8/23/20 - 8/29/20,Colusa,,,,,,,,,,,,0,0,0,
8/30/20 - 9/05/20,Colusa,,,,,,,,,,,,0,0,0,
9/06/20 - 9/12/20,Colusa,,,,,,,,,,,,0,0,0,
9/13/20 - 9/19/20,Colusa,,,,,,,,,,,,0,0,0,
9/20/20 - 9/26/20,Colusa,,,,,,,,,,,,<11,<11,0,
9/27/20 - 10/03/20,Colusa,,,,,,,,,,,,0,0,0,One staff member is currently on home isolation from previous reporting week test
10/04/20 - 10/10/20,Contra Costa,Martinez Detention Facility,381,179,<11,0,0,0,0,0,0,,,,,
10/11/20 - 10/17/20,Contra Costa,Martinez Detention Facility,400,266,<11,<11,0,0,0,0,0,,,,,
