age_group,totalpositive,date,case_percent,deaths,deaths_percent,ca_percent
0-17,120,4/2/2020,,,,
18-49,5302,4/2/2020,,,,
50-64,2879,4/2/2020,,,,
65 and Older,2342,4/2/2020,,,,
Unknown,58,4/2/2020,,,,
0-17,137,4/3/2020,,,,
18-49,5917,4/3/2020,,,,
50-64,3253,4/3/2020,,,,
65 and Older,2660,4/3/2020,,,,
Unknown,59,4/3/2020,,,,
0-17,160,4/4/2020,,,,
18-49,6610,4/4/2020,,,,
50-64,3653,4/4/2020,,,,
65 and Older,2966,4/4/2020,,,,
Unknown,49,4/4/2020,,,,
0-17,173,4/5/2020,,,,
18-49,7099,4/5/2020,,,,
50-64,3884,4/5/2020,,,,
65 and Older,3129,4/5/2020,,,,
Unknown,51,4/5/2020,,,,
0-17,197,4/6/2020,,,,
18-49,7753,4/6/2020,,,,
50-64,4344,4/6/2020,,,,
65 and Older,3516,4/6/2020,,,,
Unknown,55,4/6/2020,,,,
0-17,222,4/7/2020,,,,
18-49,8289,4/7/2020,,,,
50-64,4639,4/7/2020,,,,
65 and Older,3751,4/7/2020,,,,
Unknown,56,4/7/2020,,,,
0-17,252,4/8/2020,,,,
18-49,8939,4/8/2020,,,,
50-64,5003,4/8/2020,,,,
65 and Older,4056,4/8/2020,,,,
Unknown,59,4/8/2020,,,,
0-17,269,4/9/2020,,,,
18-49,9469,4/9/2020,,,,
50-64,5347,4/9/2020,,,,
65 and Older,4335,4/9/2020,,,,
Unknown,52,4/9/2020,,,,
0-17,303,4/10/2020,,,,
18-49,10069,4/10/2020,,,,
50-64,5633,4/10/2020,,,,
65 and Older,4561,4/10/2020,,,,
Unknown,49,4/10/2020,,,,
0-17,330,4/11/2020,,,,
18-49,10599,4/11/2020,,,,
50-64,5941,4/11/2020,,,,
65 and Older,4870,4/11/2020,,,,
Unknown,54,4/11/2020,,,,
0-17,337,4/12/2020,,,,
18-49,10838,4/12/2020,,,,
50-64,6079,4/12/2020,,,,
65 and Older,5036,4/12/2020,,,,
Unknown,58,4/12/2020,,,,
0-17,362,4/13/2020,,,,
18-49,11246,4/13/2020,,,,
50-64,6348,4/13/2020,,,,
65 and Older,5320,4/13/2020,,,,
Unknown,62,4/13/2020,,,,
0-17,385,4/14/2020,,,,
18-49,11721,4/14/2020,,,,
50-64,6644,4/14/2020,,,,
65 and Older,5605,4/14/2020,,,,
Unknown,69,4/14/2020,,,,
0-17,432,4/15/2020,,,,
18-49,12479,4/15/2020,,,,
50-64,7141,4/15/2020,,,,
65 and Older,6051,4/15/2020,,,,
Unknown,79,4/15/2020,,,,
0-17,472,4/16/2020,,,,
18-49,13144,4/16/2020,,,,
50-64,7488,4/16/2020,,,,
65 and Older,6360,4/16/2020,,,,
Unknown,64,4/16/2020,,,,
0-17,507,4/17/2020,,,,
18-49,13798,4/17/2020,,,,
50-64,7862,4/17/2020,,,,
65 and Older,6729,4/17/2020,,,,
Unknown,67,4/17/2020,,,,
0-17,550,4/18/2020,,,,
18-49,14408,4/18/2020,,,,
50-64,8232,4/18/2020,,,,
65 and Older,7071,4/18/2020,,,,
Unknown,72,4/18/2020,,,,
0-17,573,4/19/2020,,,,
18-49,14690,4/19/2020,,,,
50-64,8385,4/19/2020,,,,
65 and Older,7267,4/19/2020,,,,
Unknown,63,4/19/2020,,,,
0-17,683,4/20/2020,,,,
18-49,15901,4/20/2020,,,,
50-64,8961,4/20/2020,,,,
65 and Older,7650,4/20/2020,,,,
Unknown,66,4/20/2020,,,,
0-17,768,4/21/2020,,,,
18-49,17009,4/21/2020,,,,
50-64,9517,4/21/2020,,,,
65 and Older,8035,4/21/2020,,,,
Unknown,67,4/21/2020,,,,
0-17,855,4/22/2020,2.29,0,0,22.49
18-49,18004,4/22/2020,48.18,99,7.09,43.52
50-64,10025,4/22/2020,26.83,223,15.97,18.42
65 and Older,8401,4/22/2020,22.48,1074,76.93,15.57
Unknown,84,4/22/2020,0.22,0,0,
0-17,936,4/23/2020,2.38,0,0,22.49
18-49,18954,4/23/2020,48.29,107,7.19,43.52
50-64,10451,4/23/2020,26.62,234,15.71,18.42
65 and Older,8832,4/23/2020,22.5,1148,77.1,15.57
Unknown,81,4/23/2020,0.21,0,0,
0-17,1011,4/24/2020,2.46,0,0,22.49
18-49,19897,4/24/2020,48.37,112,7.12,43.52
50-64,10885,4/24/2020,26.46,246,15.64,18.42
65 and Older,9256,4/24/2020,22.5,1215,77.24,15.57
Unknown,88,4/24/2020,0.21,0,0,
0-17,1039,4/25/2020,2.46,0,0,22.49
18-49,20379,4/25/2020,48.33,117,7.1,43.52
50-64,11139,4/25/2020,26.42,254,15.42,18.42
65 and Older,9512,4/25/2020,22.56,1276,77.47,15.57
Unknown,95,4/25/2020,0.23,0,0,
0-17,1085,4/26/2020,2.5,0,0,22.49
18-49,21028,4/26/2020,48.38,119,7.1,43.52
50-64,11442,4/26/2020,26.33,258,15.39,18.42
65 and Older,9824,4/26/2020,22.6,1299,77.51,15.57
Unknown,85,4/26/2020,0.2,0,0,
0-17,1190,4/27/2020,2.64,0,0,22.49
18-49,21888,4/27/2020,48.61,120,6.97,43.52
50-64,11781,4/27/2020,26.16,265,15.4,18.42
65 and Older,10086,4/27/2020,22.4,1336,77.63,15.57
Unknown,86,4/27/2020,0.19,0,0,
0-17,1263,4/28/2020,2.72,0,0,22.49
18-49,22596,4/28/2020,48.59,126,6.97,43.52
50-64,12153,4/28/2020,26.14,284,15.7,18.42
65+,10413,4/28/2020,22.39,1399,77.34,15.57
Unknown,75,4/28/2020,0.16,0,0,
0-17,1398,4/29/2020,2.86,0,0,22.49
18-49,23836,4/29/2020,48.73,131,6.93,43.52
50-64,12705,4/29/2020,25.97,292,15.45,18.42
65+,10906,4/29/2020,22.29,1467,77.62,15.57
Unknown,72,4/29/2020,0.15,0,0,
0-17,1449,4/30/2020,2.9,0,0,22.49
18-49,24613,4/30/2020,48.8,137,6.9,43.52
50-64,13044,4/30/2020,25.9,308,15.5,18.42
65+,11256,4/30/2020,22.3,1543,77.6,15.57
Unknown,80,4/30/2020,0.2,0,0,
0-17,1566,5/1/2020,3,0,0,22.49
18-49,25548,5/1/2020,48.95,139,6.67,43.52
50-64,13454,5/1/2020,25.78,322,15.46,18.42
65+,11547,5/1/2020,22.12,1622,77.87,15.57
Unknown,82,5/1/2020,0.16,0,0,
0-17,1640,5/2/2020,3.1,0,0,22.5
18-49,26256,5/2/2020,49,139,6.5,43.5
50-64,13773,5/2/2020,25.7,331,15.5,18.4
65+,11860,5/2/2020,22.1,1668,78,15.6
Unknown,87,5/2/2020,0.2,0,0,0
0-17,1715,5/3/2020,3.12,0,0,22.5
18-49,26956,5/3/2020,49.07,139,6.38,43.5
50-64,14078,5/3/2020,25.63,335,15.38,18.4
65+,12098,5/3/2020,22.02,1704,78.24,15.6
Unknown,90,5/3/2020,0.16,0,0,0
0-17,1773,5/4/2020,3.2,0,0,22.5
