race_ethnicity,cases,case_percentage,deaths,death_percentage,percent_ca_population,date,month
Latino,5276,35.99,170,28.38,38.9,4/13/20,Apr
White,4639,31.64,246,41.07,36.6,4/13/20,Apr
Asian,1902,12.97,98,16.36,15.4,4/13/20,Apr
Black,1030,7.03,61,10.18,6,4/13/20,Apr
Multiracial,268,1.83,8,1.34,2.2,4/13/20,Apr
American Indian or Alaska Native,33,0.23,3,0.5,0.5,4/13/20,Apr
Native Hawaiian or Pacific Islander,243,1.66,4,0.67,0.3,4/13/20,Apr
Other,1269,8.66,9,1.5,0,4/13/20,Apr
Latino,5910,37.18,203,29.72,38.9,4/14/20,Apr
White,4939,31.07,264,38.65,36.6,4/14/20,Apr
Asian,2045,12.87,103,15.08,15.4,4/14/20,Apr
Black,1107,6.96,79,11.57,6,4/14/20,Apr
Multiracial,303,1.91,9,1.32,2.2,4/14/20,Apr
American Indian or Alaska Native,33,0.21,3,0.44,0.5,4/14/20,Apr
Native Hawaiian or Pacific Islander,252,1.59,6,0.88,0.3,4/14/20,Apr
Other,1306,8.22,16,2.34,0,4/14/20,Apr
Latino,6433,37.8,226,29.7,38.9,4/15/20,Apr
White,5239,30.79,286,37.58,36.6,4/15/20,Apr
Asian,2161,12.7,122,16.03,15.4,4/15/20,Apr
Black,1176,6.91,87,11.43,6,4/15/20,Apr
Multiracial,329,1.93,10,1.31,2.2,4/15/20,Apr
American Indian or Alaska Native,32,0.19,3,0.39,0.5,4/15/20,Apr
Native Hawaiian or Pacific Islander,262,1.54,9,1.18,0.3,4/15/20,Apr
Other,1385,8.14,18,2.37,0,4/15/20,Apr
Latino,7013,38.51,254,29.85,38.9,4/16/20,Apr
White,5504,30.22,314,36.9,36.6,4/16/20,Apr
Asian,2361,12.96,135,15.86,15.4,4/16/20,Apr
Black,1244,6.83,103,12.1,6,4/16/20,Apr
Multiracial,362,1.99,11,1.29,2.2,4/16/20,Apr
American Indian or Alaska Native,34,0.19,4,0.47,0.5,4/16/20,Apr
Native Hawaiian or Pacific Islander,279,1.53,12,1.41,0.3,4/16/20,Apr
Other,1414,7.76,18,2.12,0,4/16/20,Apr
Latino,7627,39.41,281,30.58,38.9,4/17/20,Apr
White,5757,29.75,333,36.24,36.6,4/17/20,Apr
Asian,2489,12.86,147,16,15.4,4/17/20,Apr
Black,1312,6.78,110,11.97,6,4/17/20,Apr
Multiracial,376,1.94,11,1.2,2.2,4/17/20,Apr
American Indian or Alaska Native,38,0.2,4,0.44,0.5,4/17/20,Apr
Native Hawaiian or Pacific Islander,290,1.5,13,1.41,0.3,4/17/20,Apr
Other,1463,7.56,20,2.18,0,4/17/20,Apr
Latino,8195,40.28,314,31.24,38.9,4/18/20,Apr
White,5945,29.22,357,35.52,36.6,4/18/20,Apr
Asian,2605,12.81,162,16.12,15.4,4/18/20,Apr
Black,1376,6.76,120,11.94,6,4/18/20,Apr
Multiracial,390,1.92,11,1.09,2.2,4/18/20,Apr
American Indian or Alaska Native,39,0.19,4,0.4,0.5,4/18/20,Apr
Native Hawaiian or Pacific Islander,304,1.49,14,1.39,0.3,4/18/20,Apr
Other,1489,7.32,23,2.29,0,4/18/20,Apr
Latino,8397,40.37,326,31.38,38.9,4/19/20,Apr
White,6051,29.09,368,35.42,36.6,4/19/20,Apr
Asian,2635,12.67,169,16.27,15.4,4/19/20,Apr
Black,1414,6.8,125,12.03,6,4/19/20,Apr
Multiracial,398,1.91,13,1.25,2.2,4/19/20,Apr
American Indian or Alaska Native,40,0.19,4,0.38,0.5,4/19/20,Apr
Native Hawaiian or Pacific Islander,310,1.49,14,1.35,0.3,4/19/20,Apr
Other,1555,7.48,20,1.92,0,4/19/20,Apr
Latino,9090,40.52,337,31.09,38.9,4/20/20,Apr
