county,date,rooms,rooms_occupied,trailers_requested,trailers_delivered,donated_trailers_delivered
Alameda,4/14/2020,403,115,91,85,
Alpine,4/14/2020,,,,,
Amador,4/14/2020,,,,,
Butte,4/14/2020,65,65,,,
Calaveras,4/14/2020,,,,,
Colusa,4/14/2020,,,,,
Contra Costa,4/14/2020,340,,,,
Del Norte,4/14/2020,,,,,
El Dorado,4/14/2020,,,,,
Fresno,4/14/2020,305,250,28,,
Glenn,4/14/2020,,,,,
Humboldt,4/14/2020,,,15,,
Imperial,4/14/2020,36,,,,
Inyo,4/14/2020,,,,,
Kern,4/14/2020,,,15,15,
Kings,4/14/2020,,,,,
Lake,4/14/2020,,,,,
Lassen,4/14/2020,,,,,
Los Angeles,4/14/2020,2654,535,658,654,
Madera,4/14/2020,,,,,
Marin,4/14/2020,80,43,44,,
Mariposa,4/14/2020,44,,,,
Mendocino,4/14/2020,103,63,,,
Merced,4/14/2020,,,,,
Mono,4/14/2020,48,,,,
Modoc,4/14/2020,,,,,
Monterey,4/14/2020,,,108,,
Napa,4/14/2020,,,18,,
Nevada,4/14/2020,27,,,,
Orange,4/14/2020,276,,78,74,
Placer,4/14/2020,15,15,,,
Plumas,4/14/2020,,,,,
Riverside,4/14/2020,422,303,15,15,
Sacramento,4/14/2020,316,63,63,63,
San Benito,4/14/2020,,,,,
San Bernardino,4/14/2020,,,20,,20
San Diego,4/14/2020,2029,409,35,35,
San Francisco,4/14/2020,1012,327,,,
San Joaquin,4/14/2020,,,,,
San Luis Obispo,4/14/2020,154,,14,14,
San Mateo,4/14/2020,94,94,,,
Santa Barbara,4/14/2020,,,,,
Santa Clara,4/14/2020,453,170,105,105,
Santa Cruz,4/14/2020,27,17,35,,
Shasta,4/14/2020,,,,,
Sierra,4/14/2020,,,,,
Siskiyou,4/14/2020,,,,,
Solano,4/14/2020,,,,,
Sonoma,4/14/2020,45,45,,,
Stanislaus,4/14/2020,,,,,
Sutter,4/14/2020,16,16,,,
Tehama,4/14/2020,,,,,
Trinity,4/14/2020,,,,,
Tulare,4/14/2020,23,,,,
Tuolumne,4/14/2020,,,,,
Ventura,4/14/2020,398,275,,,
Yolo,4/14/2020,146,119,,,
Yuba,4/14/2020,30,18,,,
Alameda,4/15/2020,403,132,91,85,
Alpine,4/15/2020,,,,,
Amador,4/15/2020,,,,,
Butte,4/15/2020,65,65,,,
Calaveras,4/15/2020,,,,,
Colusa,4/15/2020,,,,,
Contra Costa,4/15/2020,340,,,,
Del Norte,4/15/2020,,,,,
El Dorado,4/15/2020,,,,,
Fresno,4/15/2020,305,250,28,,
Glenn,4/15/2020,,,,,
Humboldt,4/15/2020,,,15,,
Imperial,4/15/2020,36,,,,
