Reporting_Period,County,Facility_Name,Youth_in_Facility,Youth_Tested,Youth_Confirmed_Positive,Youth_Confirmed_at_Intake_(Optional),Youth_Confirmed_in_First_14_Days_(Optional),Youth_Confirmed_In_Custody_(Optional),Youth_Hospitalized,Estimated_Youth_Resolved,Youth_Deaths,Additional_Information_(Optional),Staff_Tested,Staff_Confirmed_Positive,Staff_Resolved,Additional_County_Information
10/04/20 - 10/10/20,Alameda,Alameda Camp Sweeney,12,<11,0,0,0,0,0,0,0,,,,,
10/11/20 - 10/17/20,Alameda,Alameda Camp Sweeney,14,<11,0,0,0,0,0,0,0,,,,,
10/18/20 - 10/24/20,Alameda,Alameda Camp Sweeney,16,<11,0,0,0,0,0,0,0,,,,,
10/25/20 - 10/31/20,Alameda,Alameda Camp Sweeney,10,<11,0,0,0,0,0,0,0,,,,,
11/01/20 - 11/07/20,Alameda,Alameda Camp Sweeney,13,<11,0,0,0,0,0,0,0,,,,,
7/19/20 - 7/25/20,Alameda,Alameda Camp Sweeney,16,<11,0,0,0,0,0,0,0,,,,,
7/26/20 - 8/01/20,Alameda,Alameda Camp Sweeney,13,<11,0,0,0,0,0,0,0,,,,,
8/02/20 - 8/08/20,Alameda,Alameda Camp Sweeney,14,<11,0,0,0,0,0,0,0,,,,,
8/09/20 - 8/15/20,Alameda,Alameda Camp Sweeney,14,<11,0,0,0,0,0,0,0,,,,,
8/16/20 - 8/22/20,Alameda,Alameda Camp Sweeney,13,<11,0,0,0,0,0,0,0,,,,,
8/23/20 - 8/29/20,Alameda,Alameda Camp Sweeney,14,<11,0,0,0,0,0,0,0,,,,,
8/30/20 - 9/05/20,Alameda,Alameda Camp Sweeney,13,<11,0,0,0,0,0,0,0,,,,,
9/06/20 - 9/12/20,Alameda,Alameda Camp Sweeney,12,<11,0,0,0,0,0,0,0,,,,,
9/13/20 - 9/19/20,Alameda,Alameda Camp Sweeney,12,<11,0,0,0,0,0,0,0,,,,,
9/20/20 - 9/26/20,Alameda,Alameda Camp Sweeney,13,<11,0,0,0,0,0,0,0,,,,,
9/27/20 - 10/03/20,Alameda,Alameda Camp Sweeney,14,<11,0,0,0,0,0,0,0,,,,,
10/11/20 - 10/17/20,Alameda,Alameda County Juvenile Justice Facility,50,<11,<11,<11,0,0,0,0,0,,,,,
10/18/20 - 10/24/20,Alameda,Alameda County Juvenile Justice Facility,42,<11,0,0,0,0,0,0,0,,,,,
10/25/20 - 10/31/20,Alameda,Alameda County Juvenile Justice Facility,44,<11,0,0,0,0,0,0,0,,,,,
11/01/20 - 11/07/20,Alameda,Alameda County Juvenile Justice Facility,46,<11,0,0,0,0,0,0,0,,,,,
7/19/20 - 7/25/20,Alameda,Alameda County Juvenile Justice Facility,31,<11,0,0,0,0,0,0,0,,,,,
7/26/20 - 8/01/20,Alameda,Alameda County Juvenile Justice Facility,33,13,0,0,0,0,0,0,0,,,,,
8/02/20 - 8/08/20,Alameda,Alameda County Juvenile Justice Facility,34,<11,<11,<11,0,0,0,<11,0,,,,,
10/04/20 - 10/10/20,Alameda,Alameda County Juvenile Justice Facility - No Data Reported,,,,,,,,,,,,,,
8/09/20 - 8/15/20,Alameda,Alameda County Juvenile Justice Facility - No Data Reported,,,,,,,,,,,,,,
8/16/20 - 8/22/20,Alameda,Alameda County Juvenile Justice Facility - No Data Reported,,,,,,,,,,,,,,
8/23/20 - 8/29/20,Alameda,Alameda County Juvenile Justice Facility - No Data Reported,,,,,,,,,,,,,,
8/30/20 - 9/05/20,Alameda,Alameda County Juvenile Justice Facility - No Data Reported,,,,,,,,,,,,,,
9/06/20 - 9/12/20,Alameda,Alameda County Juvenile Justice Facility - No Data Reported,,,,,,,,,,,,,,
9/13/20 - 9/19/20,Alameda,Alameda County Juvenile Justice Facility - No Data Reported,,,,,,,,,,,,,,
9/20/20 - 9/26/20,Alameda,Alameda County Juvenile Justice Facility - No Data Reported,,,,,,,,,,,,,,
10/04/20 - 10/10/20,Alameda,,,,,,,,,,,,0,0,0,
10/11/20 - 10/17/20,Alameda,,,,,,,,,,,,0,0,0,
10/18/20 - 10/24/20,Alameda,,,,,,,,,,,,0,0,0,
10/25/20 - 10/31/20,Alameda,,,,,,,,,,,,0,0,0,
11/01/20 - 11/07/20,Alameda,,,,,,,,,,,,0,0,0,
7/19/20 - 7/25/20,Alameda,,,,,,,,,,,,0,0,0,
7/26/20 - 8/01/20,Alameda,,,,,,,,,,,,0,0,0,
8/02/20 - 8/08/20,Alameda,,,,,,,,,,,,0,0,0,
8/09/20 - 8/15/20,Alameda,,,,,,,,,,,,0,0,0,
8/16/20 - 8/22/20,Alameda,,,,,,,,,,,,0,0,0,
8/23/20 - 8/29/20,Alameda,,,,,,,,,,,,0,0,0,
8/30/20 - 9/05/20,Alameda,,,,,,,,,,,,0,0,0,
9/06/20 - 9/12/20,Alameda,,,,,,,,,,,,0,0,0,
9/13/20 - 9/19/20,Alameda,,,,,,,,,,,,<11,0,0,
9/20/20 - 9/26/20,Alameda,,,,,,,,,,,,0,0,0,
9/27/20 - 10/03/20,Alameda,,,,,,,,,,,,0,0,0,
